msa_code,msa_title,state,min_long,min_lat,max_long,max_lat,center_long,center_lat,radius
C4270,"Sebring, FL MSA",Florida,-81.564162,27.032319,-80.940676,27.646691,-81.252419,27.339505000000003,39788
C4268,"Sebastian-Vero Beach, FL MSA",Florida,-80.881566,27.556737,-80.263543,27.861362,-80.5725545,27.7090495,28588
C3674,"Orlando-Kissimmee-Sanford, FL MSA",Florida,-81.957641,27.64199,-80.861395,29.276766,-81.40951799999999,28.459378,105871
C1598,"Cape Coral-Fort Myers, FL MSA",Florida,-82.462012,26.316242,-81.56218,26.789551,-82.012096,26.5528965,41625
C3584,"North Port-Sarasota-Bradenton, FL MSA",Florida,-82.92417,26.945255,-82.054349,27.64668,-82.4892595,27.2959675,45425
C3610,"Ocala, FL MSA",Florida,-82.535916,28.959778,-81.638696,29.521678,-82.087306,29.240728,41504
C3894,"Port St. Lucie, FL MSA",Florida,-80.885639,26.956623,-80.022754,27.558714,-80.4541965,27.2576685,39915
C2858,"Key West, FL MicroSA",Florida,-83.108914,24.396308,-80.183871,25.805377,-81.64639249999999,25.1008425,135308
C1888,"Crestview-Fort Walton Beach-Destin, FL MSA",Florida,-86.803374,30.1036,-85.844421,30.99698,-86.3238975,30.55029,57857
C3638,"Okeechobee, FL MicroSA",Florida,-81.214284,26.958919,-80.677356,27.643238,-80.94582,27.301078500000003,44318
C2946,"Lakeland-Winter Haven, FL MSA",Florida,-82.106236,27.643238,-81.131044,28.361868,-81.61864,28.002553,46540
C3726,"Palatka, FL MicroSA",Florida,-82.056151,29.32443,-81.433583,29.840176,-81.744867,29.582303,33400
C4554,"The Villages, FL MSA",Florida,-82.311697,28.305265,-81.953291,28.96053,-82.132494,28.6328975,42436
C1050,"Albany, GA MSA",Georgia,-84.641953,31.078396,-83.649384,31.967456,-84.1456685,31.522926,57577
C3330,"Milledgeville, GA MicroSA",Georgia,-83.42909,32.926141,-82.746182,33.469178,-83.087636,33.1976595,35168
C1206,"Atlanta-Sandy Springs-Roswell, GA MSA",Georgia,-85.386581,32.84464,-83.269196,34.617924,-84.3278885,33.731282,114841
C2234,"Fitzgerald, GA MicroSA",Georgia,-83.484529,31.651691,-82.995666,31.851987,-83.24009749999999,31.751839,22614
C3142,"Macon, GA MSA",Georgia,-84.202628,32.452198,-83.226536,33.202634,-83.71458200000001,32.827416,48599
C1526,"Brunswick, GA MSA",Georgia,-82.284561,30.990644,-81.095383,31.699575,-81.689972,31.3451095,55009
C4666,"Valdosta, GA MSA",Georgia,-83.743729,30.591548,-82.578767,31.184208,-83.161248,30.887878,53889
C4234,"Savannah, GA MSA",Georgia,-81.781712,31.705198,-80.78296,32.595416,-81.282336,32.150307,57652
C4434,"Statesboro, GA MicroSA",Georgia,-82.030233,32.15289,-81.433044,32.653433,-81.7316385,32.403161499999996,32416
C1226,"Augusta-Richmond County, GA-SC MSA",Georgia,-82.649705,32.803707,-81.187238,33.984195,-81.9184715,33.393951,76451
C4122,"St. Marys, GA MicroSA",Georgia,-81.936988,30.708651,-81.304353,31.16965,-81.6206705,30.9391505,29855
C1686,"Chattanooga, TN-GA MSA",Georgia,-85.873032,34.581799,-84.94233,35.567422,-85.407681,35.0746105,63831
C4490,"Summerville, GA MicroSA",Georgia,-85.527261,34.286097,-85.107748,34.589584,-85.3175045,34.4378405,19654
C1202,"Athens-Clarke County, GA MSA",Georgia,-83.647031,33.689869,-82.779506,34.27353,-83.2132685,33.981699500000005,40130
C2006,"Douglas, GA MicroSA",Georgia,-83.151141,31.363884,-82.596283,31.816199,-82.873712,31.590041499999998,29292
C3422,"Moultrie, GA MicroSA",Georgia,-84.013858,31.025846,-83.505386,31.33498,-83.75962200000001,31.180413,23521
C1838,"Cordele, GA MicroSA",Georgia,-83.961278,31.803495,-83.609514,32.030597,-83.78539599999999,31.917046,16272
C1246,"Bainbridge, GA MicroSA",Georgia,-84.871322,30.689991,-84.375929,31.079544,-84.6236255,30.8847675,25228
C4066,"Rome, GA MSA",Georgia,-85.462207,34.079133,-85.005235,34.587483,-85.233721,34.333308,32921
C1566,"Calhoun, GA MicroSA",Georgia,-85.112327,34.384192,-84.644432,34.634128,-84.8783795,34.509159999999994,21644
C1846,"Cornelia, GA MicroSA",Georgia,-83.681696,34.431712,-83.338173,34.827736,-83.5099345,34.629723999999996,25647
C2358,"Gainesville, GA MSA",Georgia,-84.062841,34.098281,-83.615218,34.514096,-83.83902950000001,34.306188500000005,26929
C4758,"Warner Robins, GA MSA",Georgia,-84.018168,32.102843,-83.291106,32.692815,-83.65463700000001,32.397829,38207
